precinct,candidate,votes
16-450 Willow Crest,Obama,225
16-450 Willow Crest,Romney,205
16-450 Willow Crest,Stein,1
16-450 Willow Crest,Write-In,7
16-455 Spenard No. 1,Johnson,16
16-455 Spenard No. 1,Obama,246
16-455 Spenard No. 1,Romney,159
16-455 Spenard No. 1,Stein,4
16-455 Spenard No. 1,Write-In,6
16-460 Spenard No. 2,Johnson,13
16-460 Spenard No. 2,Obama,448
16-460 Spenard No. 2,Romney,244
16-460 Spenard No. 2,Stein,12
16-460 Spenard No. 2,Write-In,6
16-465 Spenard No. 3,Johnson,7
16-465 Spenard No. 3,Obama,178
16-465 Spenard No. 3,Romney,118
16-465 Spenard No. 3,Stein,7
16-465 Spenard No. 3,Write-In,1
16-470 Fireweed,Johnson,4
16-470 Fireweed,Obama,117
16-470 Fireweed,Romney,93
16-470 Fireweed,Stein,3
16-470 Fireweed,Write-In,5
16-475 Midtown No. 2,Johnson,6
16-475 Midtown No. 2,Obama,195
16-475 Midtown No. 2,Romney,198
16-475 Midtown No. 2,Stein,4
16-475 Midtown No. 2,Write-In,0
16-480 Rogers Park,Johnson,10
16-480 Rogers Park,Obama,399
16-480 Rogers Park,Romney,284
16-480 Rogers Park,Stein,8
16-480 Rogers Park,Write-In,2
16-Absentee,Johnson,20
16-Absentee,Obama,670
16-Absentee,Romney,472
16-Absentee,Stein,14
16-Absentee,Write-In,11
16-Early Voting,Johnson,12
16-Early Voting,Obama,459
16-Early Voting,Romney,292
16-Early Voting,Stein,3
16-Early Voting,Write-In,5
16-Question,Johnson,25
16-Question,Obama,440
