precinct,candidate,votes
39-005 Allakaket,Romney,8
39-005 Allakaket,Stein,1
39-005 Allakaket,Write-In,0
39-007 Arctic Village,Johnson,0
39-007 Arctic Village,Obama,50
39-007 Arctic Village,Romney,0
39-007 Arctic Village,Stein,1
39-007 Arctic Village,Write-In,0
39-010 Beaver,Johnson,1
39-010 Beaver,Obama,22
39-010 Beaver,Romney,5
39-010 Beaver,Stein,0
39-010 Beaver,Write-In,0
39-012 Bettles,Johnson,1
39-012 Bettles,Obama,6
39-012 Bettles,Romney,7
39-012 Bettles,Stein,0
39-012 Bettles,Write-In,0
39-015 Central,Johnson,3
39-015 Central,Obama,8
39-015 Central,Romney,30
39-015 Central,Stein,2
39-015 Central,Write-In,0
39-020 Chistochina,Johnson,5
39-020 Chistochina,Obama,18
39-020 Chistochina,Romney,63
39-020 Chistochina,Stein,2
39-020 Chistochina,Write-In,2
39-023 Circle,Johnson,0
39-023 Circle,Obama,22
39-023 Circle,Romney,11
39-023 Circle,Stein,0
39-023 Circle,Write-In,0
39-025 Copper Center,Johnson,9
39-025 Copper Center,Obama,56
39-025 Copper Center,Romney,176
39-025 Copper Center,Stein,3
39-025 Copper Center,Write-In,2
39-027 Dot Lake,Johnson,2
39-027 Dot Lake,Obama,5
39-027 Dot Lake,Romney,37
39-027 Dot Lake,Stein,0
39-027 Dot Lake,Write-In,1
39-030 Eagle,Johnson,3
39-030 Eagle,Obama,25
39-030 Eagle,Romney,61
39-030 Eagle,Stein,0
39-030 Eagle,Write-In,0
39-033 Fort Yukon,Johnson,0
39-033 Fort Yukon,Obama,155
39-033 Fort Yukon,Romney,35
39-033 Fort Yukon,Stein,2
39-033 Fort Yukon,Write-In,0
39-035 Gakona,Johnson,0
39-035 Gakona,Obama,35
39-035 Gakona,Romney,71
39-035 Gakona,Stein,0
39-035 Gakona,Write-In,0
39-037 Galena,Johnson,5
39-037 Galena,Obama,89
39-037 Galena,Romney,81
39-037 Galena,Stein,2
39-037 Galena,Write-In,0
39-040 Hughes,Johnson,3
39-040 Hughes,Obama,32
39-040 Hughes,Romney,7
39-040 Hughes,Stein,0
39-040 Hughes,Write-In,0
39-043 Huslia,Johnson,1
39-043 Huslia,Obama,77
39-043 Huslia,Romney,22
39-043 Huslia,Stein,0
39-043 Huslia,Write-In,0
39-045 Kaltag,Johnson,1
39-045 Kaltag,Obama,48
39-045 Kaltag,Romney,9
39-045 Kaltag,Stein,0
39-045 Kaltag,Write-In,0
39-047 Kenny Lake,Johnson,6
39-047 Kenny Lake,Obama,37
39-047 Kenny Lake,Romney,89
39-047 Kenny Lake,Stein,1
39-047 Kenny Lake,Write-In,3
39-050 Koyukuk,Johnson,2
39-050 Koyukuk,Obama,32
39-050 Koyukuk,Romney,2
39-050 Koyukuk,Stein,1
39-050 Koyukuk,Write-In,0
39-053 Mentasta,Johnson,3
39-053 Mentasta,Obama,23
39-053 Mentasta,Romney,11
39-053 Mentasta,Stein,1
39-053 Mentasta,Write-In,0
39-055 Northway,Johnson,1
39-055 Northway,Obama,42
39-055 Northway,Romney,20
39-055 Northway,Stein,0
39-055 Northway,Write-In,0
39-060 Nulato,Johnson,0
39-060 Nulato,Obama,57
39-060 Nulato,Romney,20
39-060 Nulato,Stein,2
39-060 Nulato,Write-In,1
39-070 Stevens Village,Johnson,1
39-070 Stevens Village,Obama,14
39-070 Stevens Village,Romney,0
39-070 Stevens Village,Stein,0
39-070 Stevens Village,Write-In,0
39-075 Tanacross,Johnson,2
39-075 Tanacross,Obama,36
39-075 Tanacross,Romney,4
39-075 Tanacross,Stein,0
39-075 Tanacross,Write-In,1
39-085 Tetlin,Johnson,0
39-085 Tetlin,Obama,25
39-085 Tetlin,Romney,2
39-085 Tetlin,Stein,0
39-085 Tetlin,Write-In,0
39-090 Tok,Johnson,19
39-090 Tok,Obama,130
39-090 Tok,Romney,318
39-090 Tok,Stein,5
39-090 Tok,Write-In,10
39-095 Venetie,Johnson,1
39-095 Venetie,Obama,49
39-095 Venetie,Romney,4
39-095 Venetie,Stein,0
39-095 Venetie,Write-In,0
39-400 Brevig Mission,Johnson,3
39-400 Brevig Mission,Obama,78
39-400 Brevig Mission,Romney,21
39-400 Brevig Mission,Stein,1
39-400 Brevig Mission,Write-In,2
39-405 Diomede,Johnson,0
39-405 Diomede,Obama,15
39-405 Diomede,Romney,9
39-405 Diomede,Stein,0
39-405 Diomede,Write-In,0
39-410 Elim,Johnson,6
39-410 Elim,Obama,74
39-410 Elim,Romney,20
39-410 Elim,Stein,3
39-410 Elim,Write-In,0
39-415 Gambell,Johnson,4
39-415 Gambell,Obama,114
39-415 Gambell,Romney,32
39-415 Gambell,Stein,0
39-415 Gambell,Write-In,1
39-420 Golovin,Johnson,2
39-420 Golovin,Obama,52
39-420 Golovin,Romney,21
39-420 Golovin,Stein,0
39-420 Golovin,Write-In,1
39-425 Koyuk,Johnson,1
39-425 Koyuk,Obama,75
39-425 Koyuk,Romney,23
39-425 Koyuk,Stein,1
39-425 Koyuk,Write-In,0
39-430 Nome No. 1,Johnson,9
39-430 Nome No. 1,Obama,257
39-430 Nome No. 1,Romney,181
39-430 Nome No. 1,Stein,9
39-430 Nome No. 1,Write-In,3
39-435 Nome No. 2,Johnson,17
39-435 Nome No. 2,Obama,364
39-435 Nome No. 2,Romney,221
39-435 Nome No. 2,Stein,15
39-435 Nome No. 2,Write-In,6
39-440 Savoonga,Johnson,8
39-440 Savoonga,Obama,191
39-440 Savoonga,Romney,32
39-440 Savoonga,Stein,0
39-440 Savoonga,Write-In,0
39-445 Shaktoolik,Johnson,3
39-445 Shaktoolik,Obama,57
39-445 Shaktoolik,Romney,20
39-445 Shaktoolik,Stein,2
39-445 Shaktoolik,Write-In,0
39-450 Shishmaref,Johnson,1
39-450 Shishmaref,Obama,154
39-450 Shishmaref,Romney,36
39-450 Shishmaref,Stein,3
39-450 Shishmaref,Write-In,0
39-455 St. Michael,Johnson,4
39-455 St. Michael,Obama,42
39-455 St. Michael,Romney,19
39-455 St. Michael,Stein,2
39-455 St. Michael,Write-In,0
39-460 Stebbins,Johnson,3
39-460 Stebbins,Obama,61
39-460 Stebbins,Romney,30
39-460 Stebbins,Stein,3
39-460 Stebbins,Write-In,0
39-465 Teller,Johnson,5
39-465 Teller,Obama,43
39-465 Teller,Romney,13
39-465 Teller,Stein,0
39-465 Teller,Write-In,0
39-470 Unalakleet,Johnson,6
39-470 Unalakleet,Obama,163
39-470 Unalakleet,Romney,89
39-470 Unalakleet,Stein,3
39-470 Unalakleet,Write-In,7
39-475 Wales,Johnson,5
39-475 Wales,Obama,44
39-475 Wales,Romney,7
39-475 Wales,Stein,3
39-475 Wales,Write-In,1
39-480 White Mountain,Johnson,3
39-480 White Mountain,Obama,42
39-480 White Mountain,Romney,18
39-480 White Mountain,Stein,2
39-480 White Mountain,Write-In,0
39-Absentee,Johnson,41
39-Absentee,Obama,356
39-Absentee,Romney,508
39-Absentee,Stein,15
39-Absentee,Write-In,9
39-Early Voting,Johnson,3
39-Early Voting,Obama,142
39-Early Voting,Romney,78
39-Early Voting,Stein,2
39-Early Voting,Write-In,3
39-Question,Johnson,6
39-Question,Obama,193
39-Question,Romney,95
39-Question,Stein,5
39-Question,Write-In,5
40-002 Ambler,Johnson,1
40-002 Ambler,Obama,60
40-002 Ambler,Romney,15
40-002 Ambler,Stein,2
40-002 Ambler,Write-In,0
40-004 Anaktuvuk Pass,Johnson,0
40-004 Anaktuvuk Pass,Obama,63
40-004 Anaktuvuk Pass,Romney,23
40-004 Anaktuvuk Pass,Stein,2
40-004 Anaktuvuk Pass,Write-In,1
40-006 Atqasuk,Johnson,1
40-006 Atqasuk,Obama,37
40-006 Atqasuk,Romney,15
40-006 Atqasuk,Stein,2
40-006 Atqasuk,Write-In,0
40-008 Barrow,Johnson,8
40-008 Barrow,Obama,242
40-008 Barrow,Romney,112
40-008 Barrow,Stein,5
40-008 Barrow,Write-In,5
40-010 Browerville,Johnson,11
40-010 Browerville,Obama,501
40-010 Browerville,Romney,231
40-010 Browerville,Stein,11
40-010 Browerville,Write-In,14
40-012 Buckland,Johnson,4
40-012 Buckland,Obama,74
40-012 Buckland,Romney,12
40-012 Buckland,Stein,1
40-012 Buckland,Write-In,0
40-014 Deering,Johnson,1
40-014 Deering,Obama,29
40-014 Deering,Romney,4
40-014 Deering,Stein,0
40-014 Deering,Write-In,0
40-016 Kaktovik,Johnson,2
40-016 Kaktovik,Obama,54
40-016 Kaktovik,Romney,28
40-016 Kaktovik,Stein,1
40-016 Kaktovik,Write-In,1
40-018 Kiana,Johnson,0
40-018 Kiana,Obama,51
40-018 Kiana,Romney,26
40-018 Kiana,Stein,0
40-018 Kiana,Write-In,0
40-020 Kivalina,Johnson,3
40-020 Kivalina,Obama,58
40-020 Kivalina,Romney,32
40-020 Kivalina,Stein,0
40-020 Kivalina,Write-In,0
40-022 Kobuk,Johnson,1
40-022 Kobuk,Obama,30
40-022 Kobuk,Romney,3
40-022 Kobuk,Stein,0
40-022 Kobuk,Write-In,0
40-024 Kotzebue,Johnson,18
40-024 Kotzebue,Obama,481
40-024 Kotzebue,Romney,220
40-024 Kotzebue,Stein,12
40-024 Kotzebue,Write-In,5
40-026 Noatak,Johnson,4
40-026 Noatak,Obama,82
40-026 Noatak,Romney,47
40-026 Noatak,Stein,2
40-026 Noatak,Write-In,1
40-028 Noorvik,Johnson,6
40-028 Noorvik,Obama,77
40-028 Noorvik,Romney,59
40-028 Noorvik,Stein,2
40-028 Noorvik,Write-In,0
40-030 Nuiqsut,Johnson,4
40-030 Nuiqsut,Obama,68
40-030 Nuiqsut,Romney,41
40-030 Nuiqsut,Stein,1
40-030 Nuiqsut,Write-In,0
40-032 Point Hope,Johnson,1
40-032 Point Hope,Obama,118
40-032 Point Hope,Romney,38
40-032 Point Hope,Stein,1
40-032 Point Hope,Write-In,0
40-034 Point Lay,Johnson,0
40-034 Point Lay,Obama,24
40-034 Point Lay,Romney,14
40-034 Point Lay,Stein,2
40-034 Point Lay,Write-In,0
40-036 Selawik,Johnson,4
40-036 Selawik,Obama,108
40-036 Selawik,Romney,33
40-036 Selawik,Stein,3
40-036 Selawik,Write-In,0
40-038 Shungnak,Johnson,0
40-038 Shungnak,Obama,66
40-038 Shungnak,Romney,10
40-038 Shungnak,Stein,0
40-038 Shungnak,Write-In,0
40-040 Wainwright,Johnson,3
40-040 Wainwright,Obama,93
40-040 Wainwright,Romney,56
40-040 Wainwright,Stein,2
40-040 Wainwright,Write-In,1
40-Absentee,Johnson,6
40-Absentee,Obama,241
40-Absentee,Romney,229
40-Absentee,Stein,4
40-Absentee,Write-In,0
40-Early Voting,Johnson,0
40-Early Voting,Obama,3
40-Early Voting,Romney,0
40-Early Voting,Stein,0
40-Early Voting,Write-In,0
40-Question,Johnson,5
40-Question,Obama,157
40-Question,Romney,99
40-Question,Stein,5
40-Question,Write-In,2
