town,candidate,votes
Harwich,All Others,19
Hatfield,Obama/ Biden,1362
Hatfield,Romney/ Ryan,638
Hatfield,Johnson/ Gray,11
Hatfield,Stein/ Honkala,24
Hatfield,All Others,7
Haverhill,Obama/ Biden,15592
Haverhill,Romney/ Ryan,11894
Haverhill,Johnson/ Gray,331
Haverhill,Stein/ Honkala,110
Haverhill,All Others,52
Hawley,Obama/ Biden,127
Hawley,Romney/ Ryan,65
Hawley,Johnson/ Gray,2
Hawley,Stein/ Honkala,5
Hawley,All Others,2
Heath,Obama/ Biden,295
Heath,Romney/ Ryan,124
Heath,Johnson/ Gray,2
Heath,Stein/ Honkala,8
Heath,All Others,3
Hingham,Obama/ Biden,6803
Hingham,Romney/ Ryan,7249
Hingham,Johnson/ Gray,93
Hingham,Stein/ Honkala,44
Hingham,All Others,33
Hinsdale,Obama/ Biden,728
Hinsdale,Romney/ Ryan,297
Hinsdale,Johnson/ Gray,26
Hinsdale,Stein/ Honkala,6
Hinsdale,All Others,1
Holbrook,Obama/ Biden,3024
Holbrook,Romney/ Ryan,2403
Holbrook,Johnson/ Gray,48
Holbrook,Stein/ Honkala,24
Holbrook,All Others,14
Holden,Obama/ Biden,5080
Holden,Romney/ Ryan,5315
Holden,Johnson/ Gray,100
Holden,Stein/ Honkala,54
Holden,All Others,32
Holland,Obama/ Biden,593
Holland,Romney/ Ryan,690
Holland,Johnson/ Gray,27
Holland,Stein/ Honkala,14
Holland,All Others,4
Holliston,Obama/ Biden,4637
Holliston,Romney/ Ryan,3511
Holliston,Johnson/ Gray,102
Holliston,Stein/ Honkala,44
Holliston,All Others,21
Holyoke,Obama/ Biden,12536
Holyoke,Romney/ Ryan,3656
Holyoke,Johnson/ Gray,113
Holyoke,Stein/ Honkala,144
Holyoke,All Others,0
Hopedale,Obama/ Biden,1701
Hopedale,Romney/ Ryan,1536
Hopedale,Johnson/ Gray,43
Hopedale,Stein/ Honkala,14
Hopedale,All Others,3
